Model,Accuracy,Precision,Recall,F1-Score
Random Forest,77.20457771469127,96.76635059567225,62.027585132081356,75.59713186761005
Decision Tree,77.3553938963804,96.65539724704178,62.37824359074262,75.82287473360171
